1st high freq antenna,2nd high freq antenna,3rd high freq antenna,Signal classification
0.42267,-0.54487,0.18641,g
-0.16626,-0.06288,-0.13738,b
0.60436,-0.2418,0.56045,g
0.25682,1,-0.32382,b
-0.05707,-0.59573,-0.04608,g
0,0,-0.00039,b
-0.04262,-0.81318,-0.13832,g
1,1,0,b
0.45114,-0.72779,0.38895,g
0.16595,0.24086,-0.08208,b
0.30996,-0.89093,0.22995,g
1,-1,1,b
0.68714,-0.64537,0.64727,g
1,0.88428,1,b
1,0.32492,1,g
1,0.23188,0,b
0.77122,0.1593,0.70941,g
-1,-1,1,b
0.40663,0.25792,1,g
1,1,1,b
0.80448,-0.40575,0.74354,g
-1,1,-1,b
0.5131,-0.00015,0.52099,g
-1,1,0,b
0.54356,-0.26284,0.64207,g
1,-1,1,b
0.32984,-0.92128,-0.13341,g
0,0,-1,b
0.64358,1,0.52479,g
-1,1,1,b
1,-0.75761,1,g
1,1,1,b
0.47075,-0.57377,0.42189,g
0.86136,-0.87354,-0.23186,b
1,0.53372,1,g
1,0.65268,1,b
0.83777,-0.20101,0.83867,g
1,1,0,b
0.70925,0.10754,0.65258,g
0.38352,0.14677,1,b
0.11372,0.72688,0.0699,g
1,1,0,b
0.06927,0.55061,0.12137,g
1,-1,1,b
0.54752,-0.80278,0.49195,g
1,0,0,b
0.77919,-0.47977,0.75115,g
-0.09634,0.20477,-0.06117,b
0.76911,-0.23095,0.74323,g
0,0,0,b
0.84463,-0.25706,0.93323,g
0,0,0,b
1,-0.34686,1,g
-1,1,1,b
0.83951,-0.39061,0.82166,g
-1,-1,-1,b
0.78479,-0.22765,0.73992,g
0,0,-1,b
0.78324,0.29576,0.83574,g
0,0,0,b
0.56791,0.47033,0.54252,g
0,0,1,b
0.33921,0.66844,0.22101,g
0.20614,-1,1,b
0.4397,0.19849,0.51382,g
1,0.22464,1,b
0.94578,-0.22021,0.80355,g
0,0,1,b
0.9357,-0.35222,0.98816,g
1,-1,1,b
0.74389,0.85611,0.71493,g
0,0,1,b
0.13756,0.86835,0.09048,g
0,0,0,b
0.47027,0.71689,0.33381,g
0,0,1,b
0.45312,0.63636,0.40442,g
-1,-1,-1,b
-0.1737,1,-0.81383,g
1,-1,-1,b
1,-0.78555,1,g
1,1,1,b
0.02735,0.77072,-0.04023,g
-0.04585,0.07064,-0.04013,b
0.59024,-0.14053,0.56361,g
0.39118,0.13521,0.34411,b
0.86415,0.03774,0.73208,g
0.48927,0.14643,1,b
0.45098,0.23529,0.43137,g
-0.02916,-0.07464,-0.00526,b
0.43026,0.70923,0.52361,g
-0.21354,-0.7817,-0.18494,b
0.64348,-0.25217,0.50435,g
0.02399,0.5582,0.52632,b
0.70798,-0.01868,0.39559,g
-1,0.1286,0,b
-0.71475,-0.05525,-0.67699,g
-0.67289,-0.33662,-0.59943,g
1,-1,0,b
0.59759,0.14697,0.57455,g
1,-1,0,b
0.96436,-0.22561,0.87011,g
0,0,0,b
0.89095,-0.31857,0.69531,g
0.16288,-0.70076,0,b
1,-0.4074,1,g
0,0,0,b
0.80253,-0.25741,0.76586,g
0,0,0,b
1,-1,0.30445,g
0,0,0,b
-0.54866,-0.19923,-0.42912,g
0,0,0,b
-0.51251,-0.44505,-0.37432,g
0,0,0,b
0.16997,-0.02034,0.14694,g
0.27869,-0.44262,0.4918,b
0.60715,0.16465,0.5884,g
-0.54891,-0.29915,0.25441,b
1,-0.15609,1,g
0.12727,-0.36364,0.29091,b
1,0.43396,0.43396,g
-0.66667,-0.04762,0.2619,b
0.58333,-0.3125,0.33333,g
0,0,0,b
0.23405,0.3962,0.18632,g
0.87757,0.81007,0.81979,b
1,-0.10797,0.93144,g
0.04447,0.61881,0,b
1,-0.03855,0.9842,g
1,-0.25946,0.28919,b
0.19512,0,0.17073,g
1,-1,0,b
-0.34694,0,-0.26531,g
1,-1,0,b
-0.44118,-0.50735,-0.28676,g
0.18301,0.02614,-0.40201,b
0.46667,0.03333,0.41667,g
0,0.00015,-8E-05,b
0.72973,-0.59459,0.51351,g
-1,-0.1875,-1,b
0.95434,-0.0341,0.95838,g
1,-0.63156,1,b
-0.00012,-0.00012,-8E-05,g
0.43137,-0.21569,0.47059,b
-0.00089,-0.00408,0.00025,g
-0.03125,0,0,b
1,0.02703,1,g
1,0.87317,1,b
1,0.09091,0.97861,g
-0.27104,-0.31228,0.40445,b
0.6,0.16667,0.63333,g
0.04469,0,0.04749,b
0.46059,-0.22535,0.50376,g
0.02586,0.01149,-0.04598,b
0.82956,0.02956,0.79015,g
-0.02568,-0.01854,-0.01427,b
0.24868,-0.24339,0.2672,g
0.09611,-0.07323,0.1167,b
0.02742,0.54479,-0.21572,g
-0.01693,-0.02398,0.00705,b
0.73936,-0.01942,0.79089,g
-1,1,-1,b
0.19667,0.66315,-0.11215,g
-0.94375,1,0,b
0.23529,0.90196,-0.11765,g
-1,-1,-1,b
0.22222,1,-0.55556,g
0,0,0,b
0.69635,0.29074,0.67493,g
-1,-1,0,b
0.88889,-0.11111,1,g
1,1,0,b
1,-0.27273,1,g
0.18182,-0.02273,0.17045,b
1,0.35294,1,g
0.74468,0.90426,-0.67553,b
0.70833,0,0.70833,g
0.02564,-0.04808,0.16827,b
0.24117,-0.88846,0.29221,g
0.35088,0.20175,0.82895,b
0.15657,-0.51329,0.18353,g
-1,-1,0,b
-0.0184,-0.54074,-0.07457,g
0.69792,-1,0.47569,b
0.31435,0.62447,-0.00422,g
-1,1,0,b
0,-1,1,g
1,1,0,b
1,1,1,g
0,0,0,b
-0.04717,-0.1895,0.01336,g
-0.125,-0.27083,-0.19792,b
0.22427,0.21378,0.18086,g
-1,-0.3254,-1,b
0.78317,-0.10194,0.85841,g
-0.75,1,1,b
1,-0.13722,0.96523,g
-0.00761,0.00108,0.00015,b
1,-0.1875,1,g
1,-1,0,b
0.16604,-0.73145,0.13994,g
0,1,0,b
0.86364,-0.09091,0.86364,g
1,-1,0,b
0.97059,0.05882,0.91176,g
-1,-0.32317,0.14939,b
0.6015,0.09534,0.57418,g
0,0,0,b
1,0.63636,0.72727,g
1,0.5,0,b
0.36364,0,0.28985,g
0,0,0,b
1,0.57143,1,g
1,1,1,b
0.25974,0.56573,-0.06739,g
1,1,1,b
0.14312,0.49124,0.11573,g
-1,-1,0,b
-0.38532,0.64363,-0.47419,g
-1,1,-1,b
-0.26634,0.23896,-0.23846,g
1,-1,1,b
-0.02962,0.77702,-0.10289,g
-1,1,0,b
-0.53146,0.40732,-0.56231,g
-1,1,0,b
0.47029,-0.09461,0.42152,g
1,1,1,b
0.3507,0.49721,0.30588,g
0,0,0,b
0.97845,0.07061,1,g
-1,-1,-1,b
0.56466,0.09046,0.54632,g
1,-0.06522,0.56522,b
0.87492,-0.27105,1,g
-0.09339,0.31128,-0.19066,b
0.68849,-0.01389,0.625,g
0.04433,0.05419,0.07389,b
0.78859,-0.05145,0.65213,g
0.06329,-1,0,b
0.88424,-0.18542,0.91747,g
0,0,0,b
0.83524,-0.12452,0.86786,g
1,0.11778,0.90667,b
0.81429,-0.05,0.82143,g
0,0,0,b
0.54545,-0.05455,0.58961,g
0,0,0,b
0.02224,-0.04142,0.02249,g
0,0,1,b
0.56239,-0.05938,0.5146,g
0,0,0,b
0.58137,0.38915,0.34749,g
0.15078,0.13296,0.12197,g
0.37542,0.70011,-0.03983,g
0.61733,-0.00963,0.61372,g
0.55916,0.07458,0.60294,g
0.53389,0.09207,0.50609,g
0.66624,0.0119,0.64407,g
0.35217,0.14783,0.44783,g
-0.25516,0.51701,-0.27339,g
-0.40291,0.54522,-0.42815,g
-0.52823,0.19172,-0.48808,g
-0.75321,0.42488,-0.8121,g
-0.6571,0.13667,-0.64056,g
-0.19962,-0.24648,-0.11894,g
0.43484,0.29324,0.40821,g
0.44141,0.18897,0.56167,g
0.44277,-0.09621,0.42223,g
0.92774,-0.03464,0.92226,g
0.47423,0.04124,0.45361,g
0.66316,0.19841,0.69053,g
0.54607,0.10562,0.60674,g
0.49191,-0.1068,0.30421,g
0.61235,-0.0716,0.51358,g
0.58983,-0.02712,0.50169,g
0.26214,0,0.37379,g
-0.34717,0.44195,-0.33483,g
-0.65754,0.18345,-0.64134,g
-0.54615,-0.22949,-0.47201,g
-0.75199,-0.17921,-0.66932,g
-0.26389,-0.70835,-0.08937,g
0.36586,-0.30057,0.42805,g
0.00096,-0.00948,0.0029,g
0.15602,-0.12218,0.44767,g
0.18767,0.13632,0.16655,g
0.77863,0.0709,0.77269,g
0.75935,0.21812,0.88238,g
0.90409,0.11066,0.72837,g
0.31953,-0.14497,0.34615,g
0.53861,-0.31262,0.6742,g
0.72611,-0.37792,0.65817,g
0.78533,-0.1087,0.79076,g
0.37549,0.06917,0.61067,g
0.53659,-0.11752,0.56319,g
-0.30512,-0.667,-0.19312,g
-0.1359,-0.93953,0.10007,g
0.25392,-0.82127,0.00194,g
0.25164,-0.48468,0.40591,g
0.36021,-0.78057,0.59407,g
0.431,-0.51206,0.64662,g
0.97132,-0.15755,0.96778,g
0.91991,-0.07244,0.92049,g
0.85388,-0.08676,0.96575,g
0.83051,-0.15254,0.76271,g
0.36924,-0.14809,0.08333,g
-1,-0.42226,-0.91903,g
-0.34131,-0.60454,-0.19609,g
0.37093,-0.39167,0.48319,g
0.54827,-0.69613,0.74828,g
0.69886,-0.46048,0.76066,g
1,-0.14194,1,g
0.80634,-0.01957,0.78761,g
0.31008,-0.23199,0.34572,g
0.56626,-0.36765,0.62765,g
0.83142,-0.07029,0.76862,g
0.53165,0.02532,0.83544,g
0.58187,0.08757,0.5533,g
0.85198,0.10134,0.84258,g
0.99057,-0.06497,0.98971,g
0.87327,0.04158,0.86733,g
1,0.01064,0.93617,g
0.41856,0.0641,0.39394,g
0.46189,-0.19681,0.40956,g
0.61217,-0.17343,0.60073,g
0.88654,0.098,0.75495,g
0.3867,0.00246,0.17758,g
0.24242,0.36364,0.09091,g
1,0.05488,0.97561,g
0.92553,0.18085,0.92553,g
0.8171,0.068,0.80774,g
0.80757,0.02308,0.80088,g
0.99112,0.06217,0.98934,g
0.98564,0.02099,0.98674,g
1,0.10067,1,g
0.54209,-0.21542,0.56286,g
0.87893,0.20359,0.70555,g
0.21443,0.2054,0.13376,g
0.20549,0.76764,-0.18533,g
-0.16794,0.16794,-0.30153,g
0.9819,0.08126,0.97247,g
0.70058,-0.0422,0.78439,g
0.32232,-0.08637,0.28943,g
0.66298,0.01484,0.63887,g
0.55328,0.2459,0.13934,g
0.8666,-0.10714,0.90546,g
0.94066,-0.00035,0.91483,g
0.92459,0.00442,0.92697,g
0.96022,-0.03757,0.87403,g
0.75747,-0.06678,0.85764,g
